"TOA5","CR1000_PROFIL_CO2","CR1000","E7096","CR1000.Std.26","CPU:ICOS_PROFIL_CO2_V8.CR1","53781","Profil_CO2"
"TIMESTAMP","RECORD","CO2_avg(1)","CO2_avg(2)","CO2_avg(3)","CO2_avg(4)","CO2_avg(5)","CO2_avg(6)","H2O_avg(1)","H2O_avg(2)","H2O_avg(3)","H2O_avg(4)","H2O_avg(5)","H2O_avg(6)","Press_avg(1)","Press_avg(2)","Press_avg(3)","Press_avg(4)","Press_avg(5)","Press_avg(6)","Temp_avg(1)","Temp_avg(2)","Temp_avg(3)","Temp_avg(4)","Temp_avg(5)","Temp_avg(6)","H2Odewpoint_avg(1)","H2Odewpoint_avg(2)","H2Odewpoint_avg(3)","H2Odewpoint_avg(4)","H2Odewpoint_avg(5)","H2Odewpoint_avg(6)","Debit_avg(1)","Debit_avg(2)","Debit_avg(3)","Debit_avg(4)","Debit_avg(5)","Debit_avg(6)","Temp_gaine_Avg"
"TS","RN","ppm","ppm","ppm","ppm","ppm","ppm","ppt","ppt","ppt","ppt","ppt","ppt","kPa","kPa","kPa","kPa","kPa","kPa","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","l/min","l/min","l/min","l/min","l/min","l/min",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg"
"2014-07-29 20:45:00",36,424.5461,411.8723,402.5842,788.386,-0.3140532,399.5261,15.48244,14.80042,14.5897,15.6775,0.6077505,0.8426601,99.26658,99.24693,99.24024,99.50645,99.51474,99.51394,50.65738,50.66254,50.66772,50.66514,50.66256,50.66254,13.34016,12.64819,12.42863,13.5694,-28.18577,-24.63475,0.868,0.874,0.865,0.862,0.859,0.855,23.99435
"2014-07-29 21:00:00",37,427.7868,410.4657,405.9626,765.2175,-0.3140532,399.5261,15.4534,14.88834,14.74145,15.67372,0.6077505,0.8426601,99.27544,99.25792,99.24266,99.52095,99.51474,99.51394,50.66512,50.66774,50.66254,50.66772,50.66256,50.66254,13.31275,12.74024,12.58664,13.56791,-28.18577,-24.63475,0.879,0.876,0.872,0.866,0.859,0.855,23.94349
"2014-07-29 21:15:00",38,432.7266,406.2911,406.1744,886.1353,-0.3140532,399.5261,15.47059,14.72243,14.58848,15.6449,0.6077505,0.8426601,99.27866,99.26062,99.25285,99.52766,99.51474,99.51394,50.65994,50.66772,50.66772,50.66772,50.66256,50.66254,13.33028,12.56973,12.42933,13.54069,-28.18577,-24.63475,0.873,0.877,0.869,0.86,0.859,0.855,23.86761
"2014-07-29 21:30:00",39,463.458,425.2968,410.95,899.2972,-0.3140532,399.5261,15.74939,15.01554,14.79459,15.70443,0.6077505,0.8426601,99.29823,99.26742,99.26737,99.5392,99.51474,99.51394,50.65736,50.65996,50.66772,50.65998,50.66256,50.66254,13.60751,12.8716,12.64534,13.60081,-28.18577,-24.63475,0.874,0.873,0.868,0.863,0.859,0.855,23.84983
"2014-07-29 21:45:00",40,461.3953,420.624,411.41,860.8826,-0.3140532,399.5261,15.60576,14.92067,14.66278,15.69696,0.6077505,0.8426601,99.2942,99.26206,99.26365,99.54053,99.51474,99.51394,50.66512,50.66772,50.66512,50.66254,50.66256,50.66254,13.46617,12.77399,12.50836,13.59369,-28.18577,-24.63475,0.873,0.873,0.868,0.871,0.859,0.855,23.85034
"2014-07-29 22:00:00",41,491.2729,435.1771,426.5218,836.5477,-0.3140532,399.5261,15.98216,15.2901,15.0978,15.78043,0.6077505,0.8426601,99.2926,99.27464,99.26634,99.54161,99.51474,99.51394,50.65996,50.6703,50.66512,50.66772,50.66256,50.66254,13.83231,13.14987,12.95494,13.67539,-28.18577,-24.63475,0.878,0.873,0.865,0.874,0.859,0.855,23.81703
"2014-07-29 22:15:00",42,497.6623,431.274,421.0782,837.1891,-0.3140532,399.5261,16.02518,15.26901,15.0645,15.76328,0.6077505,0.8426601,99.291,99.27518,99.26928,99.54297,99.51474,99.51394,50.6703,50.66256,50.66516,50.66512,50.66256,50.66254,13.8734,13.12882,12.92164,13.65892,-28.18577,-24.63475,0.879,0.882,0.876,0.878,0.859,0.855,23.72693
"2014-07-29 22:30:00",43,457.3176,421.1096,414.1157,816.3422,-0.3140532,399.5261,15.63063,15.01263,14.83754,15.70465,0.6077505,0.8426601,99.29126,99.26848,99.26737,99.5349,99.51474,99.51394,50.66254,50.65994,50.66512,50.66514,50.66256,50.66254,13.49017,12.8688,12.68951,13.60035,-28.18577,-24.63475,0.871,0.872,0.866,0.87,0.859,0.855,23.65317
"2014-07-29 22:45:00",44,464.0113,422.7899,416.5472,873.0596,-0.3140532,399.5261,15.92183,14.96456,14.78585,15.68419,0.6077505,0.8426601,99.28456,99.26714,99.24992,99.53651,99.51474,99.51394,50.65736,50.65994,50.65738,50.66514,50.66256,50.66254,13.77283,12.81962,12.63363,13.58057,-28.18577,-24.63475,0.876,0.875,0.868,0.873,0.859,0.855,23.59642
"2014-07-29 23:00:00",45,468.4019,421.878,418.4615,852.4218,-0.3140532,399.5261,15.51632,14.94804,14.76748,15.65525,0.6077505,0.8426601,99.28162,99.26928,99.25611,99.53355,99.51474,99.51394,50.66252,50.66772,50.66772,50.65994,50.66256,50.66254,13.37598,12.80306,12.61564,13.55175,-28.18577,-24.63475,0.878,0.877,0.87,0.872,0.859,0.855,23.55084
