;;;;;Ray1;Ray2;Ray3;Ray4;Ray5;Ray6;Ray7;Ray8;Ray9;Ray10;Ray11;Ray12;Ray13;Ray14;Ray15;Ray16;Ray17;Ray18;Ray19;Ray20;Ray21;Ray22;Ray23;Ray24;Ray25;Ray26;Ray27;Ray28;Ray29;Ray30;Ray31;Ray32;Ray33;Ray34;Ray35;Ray36;Ray37;Ray38;Ray39;Ray40;Ray41;Ray42;Ray43;Ray44;Ray45;Ray46;Ray47;Ray48;Ray49;Ray50;Ray51;Ray52;Ray53;Ray54;Ray55;Ray56;Ray57;Ray58;Ray59;Ray60;Ray61;Ray62;Ray63;Ray64;Ray65;Ray66;Ray67;Ray68;Ray69;Ray70;Ray71;Ray72;Ray73;Ray74;Ray75;Ray76;Ray77;Ray78;Ray79;Ray80;Ray81;Ray82;Ray83;Ray84;Ray85;Ray86
101;2010;106;2030;0;4.499;8.14;9.53;4.476;5.732;5.22;8.66;2.691;9.27;5.228;6.772;5.179;2.543;5.42;6.052;4.717;6.15;5.494;9.39;9.13;26.35;28.87;4.017;7.716;4.534;9.24;3.601;3.648;5.566;5.731;7.205;6.061;5.814;6.909;8.35;6.457;3.989;5.644;4.102;10.65;14.82;3.654;25.06;6.752;1.995;4.949;5.663;3.759;5.326;6.007;4.778;3.528;4.612;3.627;6.261;2.198;5.976;5.088;3.744;8.94;9.14;6.464;9.34;30.82;27.31;4.353;6.514;4.313;3.478;5.691;4.033;6.907;11.8;6.735;5.567;5.676;5.089;7.315;3.049;4.819;3.231;5.273;8.2;6.143;7.666;27.22
101;2010;106;2045;0;1.739;3.388;3.927;1.846;2.347;2.137;3.658;1.191;3.92;2.057;2.746;2.076;1.062;2.189;2.49;1.897;2.508;2.257;3.943;3.86;11.57;12.68;1.681;3.239;1.875;4.04;1.498;1.563;2.433;2.435;3.145;2.561;2.57;2.997;3.615;2.716;1.681;2.48;1.709;4.641;6.406;1.554;11.09;2.827;1.088;1.93;2.315;1.576;2.117;2.569;1.88;1.458;1.923;1.423;2.603;0.908;2.447;2.146;1.498;3.848;3.945;2.719;3.976;13.56;12.09;1.759;2.622;1.762;1.416;2.35;1.63;2.855;5.148;2.771;2.295;2.286;2.002;3.039;1.24;1.915;1.419;2.18;3.424;2.545;3.247;11.92
101;2010;106;2100;0;0.585;0.973;1.054;0.559;0.703;0.645;1.124;0.359;1.146;0.675;0.799;0.692;0.362;0.716;0.747;0.627;0.756;0.735;1.105;1.093;2.865;3.105;0.433;0.797;0.517;1.002;0.424;0.412;0.612;0.637;0.784;0.663;0.644;0.751;0.873;0.692;0.466;0.644;0.513;1.149;1.56;0.454;2.812;0.842;0.181;0.625;0.673;0.485;0.689;0.811;0.604;0.497;0.607;0.488;0.765;0.275;0.727;0.642;0.481;1.022;1.014;0.763;1.057;3.303;2.959;0.581;0.785;0.55;0.448;0.714;0.555;0.828;1.319;0.781;0.694;0.731;0.611;0.9;0.399;0.627;0.414;0.657;0.942;0.763;0.904;2.922
101;2010;106;2115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.018;0.334;0.373;0.019;0.068;0.017;0.1;0;0.023;0.03;0.034;0.078;0.05;0.067;0.066;0.099;0.061;0.015;0.057;0.027;0.115;0.201;0.008;0.299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.032;0.055;0;0.017;0.402;0.36;0;0;0;0;0;0;0;0.073;0;0;0;0;0;0;0;0;0;0.034;0;0.017;0.331
101;2010;106;2130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;2010;106;2145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;2010;106;2200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;2010;106;2215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;2010;106;2230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;2010;106;2245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;2010;106;2300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;2010;106;2315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;2010;106;2330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;2010;106;2345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;2010;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;2010;107;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;2010;107;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;2010;107;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;2010;107;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
